1,2034.65
26,670.5
12,1389.85
9,500
61,1694.5
56,1113.05
16,2500
55,5000
50,5000
41,2500
3,900
20,1857.5
46,1125
90,866.56
93,1294.96
75,4000
71,5000
94,504
99,898
102,5000
104,5000
106,17434.39
106,3570
106,850.25
82,700
11,604.03
31,14681
37,3515
29,3111
120,3985
118,5109.4
93,2517.86
83,2221.21
39,2195.01
106,66369.84
14,500
92,540
114,8115
15,960
63,2561.84
32,1880.86
103,785
120,5250
111,515.5
85,17667.47
101,69601.85
54,500
5,4485
51,2400
77,500
77,500
77,500
77,500
77,500
106,2939.68
44,2836.64
117,1180.48
25,4087.5
19,1500
106,2239.81
106,554.12
68,616.65
66,600
61,4954.5
67,4164.42
28,1990
121,975
40,2248.34
40,-1596
40,29387.06
40,9206.39
74,897.02
59,1470
73,3705.75
107,5605
24,3160
21,1656
21,1713
2,555.81
23,1400
69,500
79,3349.87
93,1739.33
22,580
49,6159.06
95,2547
93,1366.37
58,5000
18,1800
106,32289.06
60,1227
116,670.37
47,1668.07
101,540.08
7,4814.4
108,5000
88,2747.43
78,3880.8
110,512.83
72,2520
89,5000
13,4429
84,4425.5
35,525.17
97,533.15
48,684
53,2412.3
112,500
98,1825.34
17,1235
34,8950
36,640.5
68,1565.56
100,9543.02
43,5001.6
65,2000
74,1902.87
105,19195.1
80,917.7
6,7371.4
119,2340
38,3500
33,12000
64,1860
115,10000
113,782.75
119,1920
42,5000
27,800
30,2940
95,2547
113,2100
82,24000
4,6000
8,1991.6
8,3567.6
106,879.08
81,15000
106,2939.68
106,32289.06
45,926
106,794.08
106,2065.83
25,4880.6
109,1207.5
86,518.54
21,1978.08
10,644
86,-518.54
70,1000
75,1000
30,7600.72
30,19838.72
30,22165.67
25,2500
57,500
21,3000
96,2227.2
52,1048
106,17434.39
91,1293
93,1019.87
62,670.83
76,1020
87,29390.63
