Body_Name ,Date,Transaction_Number,Amount,Supplier_Name,Supplier_ID,Expense_Area,Expense_Type,Expense_Code,Extended_Description,Service_Code,Service_Label,Service Division Label,Service Division Code
West Wickham District Council,05/05/2017,156586,2034.65,ACS BUSINESS SUPPLIES LTD  *CCS*,ACS002,Information Technology Manager,Computer equipment,2061,LAPTOPS,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,05/05/2017,156917,670.5,CODAIR DESIGN & PUBLICITY LIMITED,COD001,Commercial Services Manager,Distribution,2051,MAPS,TOUPRO,Tourism Promotion,2056,West Wickham Tourism
West Wickham District Council,05/05/2017,157155,1389.85,BROXAP LTD,BRO036,Technical Services Manager,Building Maintenance,1000,SNEYD HILL UNIT/FIXING,LEICEN,West Wickham Leisure Centre & Appleby Swimming P,2101,Frenchfield - Building
West Wickham District Council,05/05/2017,156921,500,BOLTON NURSERY,BOL009,Commercial Services Manager,Balance Sheet entry BS,6003,ECF187 19.04.17,COMDEV,Community Development & Engagement,10400,Community Fund
West Wickham District Council,05/05/2017,156922,1694.5,IMPACT HOUSING ASSOCIATION,IMP001,Revenue/Benefits Manager,Control account system code,6009,20561514-OVERPAID,REVBEN,Revenue & Benefits,9048,Debtors Overhead Account
West Wickham District Council,05/05/2017,156965,1113.05,Redacted Infromation,HAC002,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16431,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156974,2500,BURNETTS SOLICITORS,BUR015,Planning Services,Legal and court costs,2046,PLANNING APPEAL COSTS BEACON FARM KEMPLA,DEVCOE,Development Control & Enforcement,3010,Development Control & Enforcement
West Wickham District Council,05/05/2017,156977,5000,Redacted Infromation,GUR001,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16390,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156978,5000,Redacted Infromation,FAW011,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16340,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,157140,2500,West Wickham MENCAP SOCIETY,EDE048,Commercial Services Manager,Balance Sheet entry BS,6003,FINAL 25% West Wickham COMMUNITY FIND GRANT,COMDEV,Community Development & Engagement,10400,Community Fund
West Wickham District Council,05/05/2017,157149,900,ALSTON TOWN HALL TRUSTEES,ALS003,Technical Services Manager,Rent,1028,RENT JAN/FEB/MAR 17,COMDEV,Community Development & Engagement,2064,Alston Council Centre - Building
West Wickham District Council,05/05/2017,157187,1857.5,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,Planning Services,Professional fees,2045,West Wickham arb consultancy april 17,CONSER,Environmental Enhancement & Conservation,3012,Arboricutural Advice
West Wickham District Council,05/05/2017,157205,1125,Redacted Infromation,ELL017,Finance Director,Grants and contributions,2079,"PLFRG EDC 16335, 16336, 16337 2ND PAY",FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156892,866.56,RENTOKIL INITIAL PEST CONTROL,REN009,Environmental Services,Pest Control,3400,PESTS MISCELLANEOUS,PESCON,Pest Control,3043,Pest Control
West Wickham District Council,05/05/2017,156899,1294.96,ROYAL MAIL NW,ROY001,Revenue/Benefits Manager,Postages,2054,MAIL FROM 22.03.17 - 11.04.17,REVBEN,Revenue & Benefits,106,Revenues
West Wickham District Council,05/05/2017,156967,4000,NEOPOST LIMITED,NEO001,Corporate Services Manager,Postages,2054,FRANKING REFILL,CENTRA,Central Expenses,205,Postages Town Hall
